0.072,   4.9720
0.076,   4.9680
0.080,   4.9680
0.084,   4.9760
0.088,   4.9840
0.092,   4.9680
0.096,   4.9680
0.100,   4.9720
0.104,   4.9720
0.108,   4.9680
0.112,   4.9720
0.116,   4.9560
0.120,   4.9560
0.124,   4.9680
0.128,   4.9680
0.132,   4.9680
0.136,   4.9640
0.140,   4.9600
0.144,   4.9680
0.148,   4.9560
0.152,   4.9560
0.156,   4.9480
0.160,   4.9640
0.164,   4.9560
0.168,   4.9520
0.172,   4.9560
0.176,   4.9480
0.180,   4.9480
0.184,   4.9480
0.188,   4.9520
0.192,   4.9440
0.196,   4.9440
0.200,   4.9360
0.204,   4.9440
0.208,   4.9360
0.212,   4.9320
0.216,   4.9280
0.220,   4.9240
0.224,   4.9280
0.228,   4.9280
0.232,   4.9240
0.236,   4.9200
0.240,   4.9160
0.244,   4.9200
0.248,   4.9120
0.252,   4.9080
0.256,   4.9040
0.260,   4.9040
0.264,   4.9160
0.268,   4.9080
0.272,   4.9080
0.276,   4.9040
0.280,   4.9080
0.284,   4.9040
0.288,   4.9080
0.292,   4.8920
0.296,   4.8920
0.300,   4.9000
0.304,   4.9000
0.308,   4.8960
0.312,   4.8920
0.316,   4.8840
0.320,   4.9040
0.324,   4.9000
0.328,   4.9040
0.332,   4.8920
0.336,   4.8960
0.340,   4.8840
0.344,   4.8880
0.348,   4.8920
0.352,   4.8800
0.356,   4.8800
0.360,   4.8800
0.364,   4.8840
0.368,   4.8800
0.372,   4.8760
0.376,   4.8760
0.380,   4.8720
0.384,   4.8720
0.388,   4.8760
0.392,   4.8680
0.396,   4.8680
0.400,   4.8640
0.404,   4.8680
0.408,   4.8640
0.412,   4.8600
0.416,   4.8600
0.420,   4.8560
0.424,   4.8640
0.428,   4.8680
0.432,   4.8560
0.436,   4.8640
0.440,   4.8560
0.444,   4.8680
0.448,   4.8560
0.452,   4.8600
0.456,   4.8640
0.460,   4.8560
0.464,   4.8560
0.468,   4.8600
0.472,   4.8680
0.476,   4.8720
0.480,   4.8760
0.484,   4.8880
0.488,   4.8840
0.492,   4.8800
0.496,   4.8880
0.500,   4.9000
0.504,   4.9160
0.508,   4.9320
0.512,   4.9200
0.516,   4.9360
0.520,   4.9440
0.524,   4.9560
0.528,   4.9680
0.532,   4.9680
0.536,   4.9720
0.540,   4.9760
0.544,   4.9920
0.548,   4.9960
0.552,   5.0000
0.556,   5.0800
0.560,   5.0800
0.564,   5.0200
0.568,   5.0200
0.572,   5.0280
0.576,   5.0200
0.580,   5.0320
0.584,   5.0400
0.588,   5.0400
0.592,   5.0360
0.596,   5.0320
0.600,   5.0400
0.604,   5.0440
0.608,   5.0400
0.612,   5.0360
0.616,   5.0400
0.620,   5.0400
0.624,   5.0400
0.628,   5.0440
0.632,   5.0400
0.636,   5.0360
0.640,   5.0360
0.644,   5.0400
0.648,   5.0440
0.652,   5.0240
0.656,   5.0240
0.660,   5.0320
0.664,   5.0320
0.668,   5.0240
0.672,   5.0320
0.676,   5.0240
0.680,   5.0160
0.684,   5.0240
